code,fr
header,Elections fédérales 2015: Force des partis au Conseil national par district
footer, swissinfo.ch | source: Office fédéral de la statistique
short.PLR,PLR
short.PDC,PDC
short.PS,PS
short.UDC,UDC
short.PVL,PVL
short.PBD,PBD
short.PES,Les Verts
short.Autres.partis,Autres partis
full.PLR,Parti libéral-radical
full.PDC,Parti démocrate-chrétien
full.PS,Parti socialiste
full.UDC,Union démocratique du centre
full.PVL,Vert'libéraux
full.PBD,Parti bourgeois démocratique
full.PES,Les Verts
full.Autres.partis,Autres partis
pop.Participation,Participation
pop.electeurs,électeurs inscrits
group.partiDominant2011,2011
group.partiDominant,2015
group.electorateSize,Taille de l'électorat
title.partiDominant,Elections Conseil national: Parti politique dominant par district en 2015 et 2011
title.evolution,Variation en % de la force des partis 2011 vs 2015 par district
legend.evo,Différence % 2011-2015
