code,fr
header,Elections fédérales 2015: Force des partis au Conseil national par district
footer, swissinfo.ch | source: Office fédéral de la statistique
short.PLR,PLR
short.PDC,PDC
short.PS,PS
short.UDC,UDC
short.PVL,PVL
short.PBD,PBD
short.PES,Les Verts
short.Autres.partis,Autres partis
full.PLR,Parti libéral-radical
full.PDC,Parti démocrate-chrétien
full.PS,Parti socialiste
full.UDC,Union démocratique du centre
full.PVL,Vert'libéraux
full.PBD,Parti bourgeois démocratique
full.PES,Les Verts
full.Autres.partis,Autres partis
pop.Participation,Participation
pop.electeurs,électeurs inscrits
group.partiDominant,Parti dominant
group.electorateSize,Taille de l'électorat
title.partiDominant,Elections Conseil national 2015: Parti politique dominant par district
